"id","pid","tstamp","title","alias","author","addTime","startTime","endTime","startDate","endDate","pageTitle","description","location","address","teaser","addImage","overwriteMeta","singleSRC","alt","imageTitle","size","imagemargin","imageUrl","fullsize","caption","floating","recurring","repeatEach","repeatEnd","recurrences","addEnclosure","enclosure","source","jumpTo","articleId","url","target","cssClass","noComments","published","start","stop","exceptionList","allRecurrences","repeatExceptionsPer","repeatExceptionsInt","repeatExceptions","repeatEachExt","location_mail","location_contact","location_link","location_ort","location_plz","location_str","location_name","recurringExt","hideOnWeekend","weekday","showOnFreeDay","useExceptions","ignoreEndTime","repeatFixedDates","repeatWeekday","disable_editing","fe_user","unsubscribeLimitTstamp","unsubscribeLimit","enableDeregistration","eventBookingNotificationSender","eventBookingNotificationCenterIds","enableNotificationCenter","includeEscortsWhenCalculatingRegCount","maxEscortsPerMember","maxMembers","minMembers","bookingEndDate","bookingStartDate","enableMultiBookingWithSameAddress","addBookingForm","city","postal","street","featured","robots","reg_requireConfirm","reg_cancelEnd","reg_regEnd","reg_max","reg_min","reg_form","reg_enable","reg_waitingListAdvancementNotification","reg_enableWaitingList","price"
"87","2","1385679600","Hollube/Rexroth","holluberexroth","0","1","1385751600","1385751600","1385679600",NULL,,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"88","2","1386284400","Neff","neff-88","0","1","1386356400","1386356400","1386284400",NULL,,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"89","2","1386889200","Schanz/Pritsch","schanzpritsch-89","0","1","1386961200","1386961200","1386889200",NULL,,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"90","2","1387494000","Hollube/Rexroth","holluberexroth-90","0","1","1387566000","1387566000","1387494000",NULL,,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"102","2","1388703600","Jürgen","juergen","0","1","1388775600","1388789940","1388703600","1388703600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"151","2","1395438416","Eckhard/Jürgen","eckhard-juergen","20","1","1397239200","1397250000","1397167200","1397167200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"169","2","1398981600","Thekendienst","thekendienst","0","1","1399053600","1399067700","1398981600","1398981600",,NULL,,,"Thomas/?",,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"170","2","1398981600","Thekendienst: Thomas/?","thekendienst-thomas","0","1","1399053600","1399067700","1398981600","1398981600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"177","2","1407137765","Eckhard","eckhard-177","20","1","1409335200","1409347800","1409263200","1409263200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"178","2","1411682400","Eckhard","eckhard-178","0","1","1411754400","1411767000","1411682400","1411682400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
