pid;tstamp;title;author;addTime;startTime;endTime;startDate;endDate;pageTitle;description;location;address;teaser;addImage;overwriteMeta;singleSRC;alt;imageTitle;size;imagemargin;imageUrl;fullsize;caption;floating;recurring;repeatEach;recurrences;addEnclosure;enclosure;source;url;target;cssClass;noComments;published;start;stop;exceptionList;allRecurrences;repeatExceptionsPer;repeatExceptionsInt;repeatExceptions;repeatEachExt;location_mail;location_contact;location_link;location_ort;location_plz;location_str;location_name;recurringExt;hideOnWeekend;weekday;showOnFreeDay;useExceptions;ignoreEndTime;repeatFixedDates;repeatWeekday;disable_editing;unsubscribeLimitTstamp;unsubscribeLimit;enableDeregistration;eventBookingNotificationSender;eventBookingNotificationCenterIds;enableNotificationCenter;includeEscortsWhenCalculatingRegCount;maxEscortsPerMember;maxMembers;minMembers;bookingEndDate;bookingStartDate;enableMultiBookingWithSameAddress;addBookingForm;city;postal;street;featured;robots;reg_requireConfirm;reg_cancelEnd;reg_regEnd;reg_max;reg_min;reg_form;reg_enable;reg_waitingListAdvancementNotification;reg_enableWaitingList;price
2;1411682400;Eckhard;0;1;20:00;23:30;26.09.2014;26.09.2014;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1415314800;Eckhard;0;1;20:00;23:30;07.11.2014;07.11.2014;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1405029600;"Eckhard + Schorsch";0;1;20:00;23:30;11.07.2014;11.07.2014;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1418806534;"Thomas Breuler - Eckhard Becker";20;1;20:00;23:59;19.12.2014;19.12.2014;;;;;"<p>Thekendienst</p>[NEWLINE]<p>Es gibt leckere DUC Burger.</p>";;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1428616800;"Thomas und Uli";0;1;20:00;23:30;10.04.2015;10.04.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1424386800;JÃ¼rgen;0;1;20:00;23:00;20.02.2015;20.02.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1424991600;"Thomas und Gerd";0;1;20:00;23:00;27.02.2015;27.02.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1429826400;"JÃ¼rgen und Gerd";0;1;20:00;23:00;24.04.2015;24.04.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1431640800;"Thomas und JÃ¼rgen";0;1;20:00;23:00;15.05.2015;15.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1434060000;JÃ¼rgen;0;1;20:00;23:00;12.06.2015;12.06.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1437084000;"Manfred und Eckhard";0;1;20:00;23:00;17.07.2015;17.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1435874400;"Heinerfest- geschlossen";0;1;20:00;23:00;03.07.2015;03.07.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1438898400;"JÃ¼rgen und Thomas";0;1;20:00;23:00;07.08.2015;07.08.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1440712800;Eckhard;0;1;20:00;23:00;28.08.2015;28.08.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1442527200;JÃ¼rgen;0;1;20:00;23:00;18.09.2015;18.09.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1444946400;"Thomas und Julia";0;1;20:00;23:00;16.10.2015;16.10.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1447369200;"JÃ¼rgen + Friederike";0;1;20:00;23:00;13.11.2015;13.11.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1446764400;"Eckhard + Gerd";0;1;20:00;23:00;06.11.2015;06.11.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1449183600;"Eckhard und";0;1;20:00;23:00;04.12.2015;04.12.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
